精美装修   采光很好  业主急售 带车位,锦华小区 _ 兴华南街,3室2厅 | 122.34平米 | 南 北 | 精装 | 7层  | 板楼,"VR看装修,房本满五年,随时看房,商业类",106万,单价8665元/平米
上街区亚星江南小镇电梯四室大复式双露台临公园房,亚星江南小镇 _ 上街区,4室2厅 | 145.72平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,"VR房源,房本满两年,随时看房,商业类",79万,单价5422元/平米
江南小镇   江南风情   朝阳3室   因工作调动诚心出售,亚星江南小镇 _ 上街区,3室2厅 | 116.63平米 | 东北 | 毛坯 | 低楼层(共33层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",64万,单价5488元/平米
江南小镇 三室两厅两卫 朝南户型,亚星江南小镇 _ 上街区,3室2厅 | 118.35平米 | 东南 | 其他 | 高楼层(共33层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",68万,单价5746元/平米
电梯洋房，全款房，    大四室,华宸上院 _ 上街区,4室2厅 | 182.84平米 | 西南 | 毛坯 | 中楼层(共7层)  | 板楼,"VR房源,房本满两年,随时看房,商业类",85万,单价4649元/平米
德鸿现代城 3室2厅 南,德鸿现代城 _ 上街区,3室2厅 | 97.91平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,"VR房源,房本满两年,随时看房,商业类",56万,单价5720元/平米
此房位置好，楼层适中，交通便利，生活方便,亚星世纪嘉园 _ 上街区,2室2厅 | 111.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",49万,单价4388元/平米
户型方正，*宽阳台，楼间距宽，小区配套成熟,鸿盛新城 _ 上街区,2室2厅 | 95.06平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",39万,单价4103元/平米
零陆小区 2室1厅 南,零陆小区 _ 上街区,2室1厅 | 79.69平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",16万,单价2008元/平米
五云山房源 环境优美 房东诚心出售 看房方便,奥伦达部落·五云山小镇 _ 上街区,3室2厅 | 126.51平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,"VR看装修,房本满两年,随时看房,商业类",112万,单价8854元/平米
步梯好楼层   低税费 配套齐全 出行购物都方便,汇泽国际城 _ 上街区,3室2厅 | 99.99平米 | 东 | 毛坯 | 中楼层(共7层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",52万,单价5201元/平米
亚星江南小镇 3室1厅 西,亚星江南小镇 _ 上街区,3室1厅 | 115.7平米 | 西 | 毛坯 | 低楼层(共34层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",66万,单价5705元/平米
地铁口 学生上学方便 边户通透大三居 双卫,旭晨林溪郡 _ 上街区,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",63万,单价5385元/平米
锦尚新城 3室1厅 西,锦尚新城 _ 上街区,3室1厅 | 132.49平米 | 西 | 毛坯 | 高楼层(共26层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",62万,单价4680元/平米
7层电梯洋房，有房本，60万，锦尚新城,锦尚新城 _ 上街区,3室2厅 | 134.07平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",56万,单价4177元/平米
锦尚新城 3室2厅 南,锦尚新城 _ 上街区,3室2厅 | 134.07平米 | 南 | 毛坯 | 中楼层(共7层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",67万,单价4998元/平米
户型好南北朝向带露台，拎包即住,亚星世纪嘉园 _ 上街区,2室2厅 | 111.68平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",30万,单价2687元/平米
南北朝向，交通便利，生活方便，可自行装修的毛坯房,豫翠园 _ 上街区,3室2厅 | 119.22平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",58万,单价4865元/平米
旭晨林溪郡毛坯三室，电梯顶楼，南北通透,旭晨林溪郡 _ 上街区,3室2厅 | 115.2平米 | 北 南 | 毛坯 | 高楼层(共26层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",57万,单价4948元/平米
十万火急老街三期准电梯毛坯大两房一手房无增值税急售,绿地老街三期 _ 天赋路,2室2厅 | 96.53平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",252万,单价26106元/平米
满五年唯一，诚心出售，西北两房，精装修拎包入住,永威东棠 _ 郑州东站,2室2厅 | 92.31平米 | 西 西北 北 | 精装 | 高楼层(共25层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",265万,单价28708元/平米
有地下车位另算、大四房得房率高、入户花园不算面积,联盟新城二期 _ 众意路,4室2厅 | 217.51平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,"VR房源,房本满五年,随时看房,商业类",650万,单价29884元/平米
翡翠城精装未入住复式三房  业主诚心出售,永威翡翠城 _ 通泰路,3室1厅 | 147.22平米 | 东 西 | 精装 | 高楼层(共9层)  | 板塔结合,"近地铁,VR房源,房本满两年,随时看房,商业类",360万,单价24454元/平米
急售上聚源路 地铁口 无贷款 满五年 价位有惊喜,聚龙城 _ 黄河南路,2室1厅 | 89.78平米 | 南 北 | 简装 | 高楼层(共22层)  | 板楼,"VR看装修,房本满五年,商业类",185万,单价20606元/平米
新上房源 永威翡翠城 192万！ 买精装两房，诚心卖！,永威翡翠城 _ 通泰路,2室2厅 | 80.76平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",192万,单价23775元/平米
满五年，标准大三室，一梯两户，诚心卖，有可造露台,民航花园 _ 天赋路,3室2厅 | 149.64平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",345万,单价23056元/平米
东方鼎盛时代 两居室带车库 省税 景观位置,东方鼎盛时代三期 _ 郑州东站,2室2厅 | 83.35平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,"近地铁,VR看装修,房本满两年,随时看房",245万,单价29395元/平米
上96中  满五年 南北通透 地铁口3号线300米,东瑞园 _ 郑州东站,3室2厅 | 142.95平米 | 北 南 | 简装 | 低楼层(共20层)  | 板塔结合,"VR看装修,房本满五年,随时看房",307万,单价21477元/平米
顺驰4房 中间位置 安静宜居 随时看房,第一大街舒水湾 _ 天赋路,4室2厅 | 157.86平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",364万,单价23059元/平米
中信佳苑电梯洋房一楼二楼复式可以扩100平花园诚售,中信嘉苑 _ 天赋路,5室2厅 | 254.53平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",480万,单价18859元/平米
有电梯，满五年，精装修，南北通透小三房,永基美邻 _ 天赋路,3室2厅 | 91.1平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",238万,单价26126元/平米
银河丹堤 60万精装修 满五年 好楼层  诚心出售,银河丹堤 _ 天赋路,3室2厅 | 88.06平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,"VR看装修,房本满五年,随时看房",335万,单价38043元/平米
满五唯一、中间位置、中高楼层、通透边户、有钥匙,盛世年华 _ 郑州东站,2室1厅 | 88.13平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,"VR看装修,房本满五年,随时看房",193万,单价21900元/平米
通透四房，户型方正，带挑高阁楼,郑东新世界 _ 白沙,4室2厅 | 78.49平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,"VR房源,房本满两年,商业类",77万,单价9811元/平米
鼎盛三期不临街不临路三房，拎包入住无差额税车库另算,东方鼎盛时代三期 _ 郑州东站,3室2厅 | 120.11平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,"VR看装修,房本满五年",325万,单价27059元/平米
龙鑫苑 小区中间位置 不临街 不临路多层三楼 随时看房,龙鑫苑 _ 黄河南路,3室2厅 | 129.39平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",265万,单价20481元/平米
位置中正，精装修，3+1户型，专程从福建回来卖房！,财信圣堤亚纳小区 _ 黄河南路,3室2厅 | 127.7平米 | 西北 | 精装 | 中楼层(共34层)  | 板楼,"近地铁,VR看装修,商业类",266万,单价20831元/平米
此房满五年 业主急售 空置 看房方便 提前预约,博澳福泽门 _ 通泰路,3室2厅 | 119平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,"近地铁,VR房源,房本满五年,随时看房,商业类",185万,单价15547元/平米
业主诚心出售，看中房子价格可谈，看房方便!,郑东新世界 _ 白沙,3室1厅 | 78.96平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",80万,单价10132元/平米
英地金台府 邸  精装修三房  带车位 业主诚心,英地·金台府邸 _ 郑州东站,3室2厅 | 119.54平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",315万,单价26352元/平米
宽豪斯低密度花园式小区，2楼，满五年，精装拎包入住,郑东宽豪斯 _ 白沙,3室2厅 | 89.38平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",92万,单价10294元/平米
一个房本！大三房！东区七里河畔！满五唯一！有钥匙,空管花园 _ 黄河南路,3室1厅 | 146.05平米 | 南 东南 | 简装 | 中楼层(共19层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房,商业类",189万,单价12941元/平米
满五唯一，南北通透两房，诚心出售，看房方便,盛世年华 _ 郑州东站,2室2厅 | 88.13平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,"VR看装修,房本满五年,随时看房,商业类",180万,单价20425元/平米
东区 黄河南路一号线地铁口 中间楼层 CBD旁,美盛怡景嘉园 _ 黄河南路,3室1厅 | 143.71平米 | 东 | 简装 | 中楼层(共25层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",220万,单价15309元/平米
急卖 电梯6楼次顶楼 东边户视野舒服采光好,永基美邻 _ 天赋路,3室2厅 | 91.1平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",236万,单价25906元/平米
两室 七里河旁，全天采光，楼层好，灵宝入住,中央特区三期 _ 郑州东站,2室2厅 | 91.23平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,"VR看装修,房本满五年,随时看房",185万,单价20279元/平米
雅居乐95平小三房，满五唯一，中等装修，业主诚心出售,雅居乐国际花园西苑 _ 白沙,3室2厅 | 95.14平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,"VR看装修,房本满两年,随时看房",163万,单价17133元/平米
金悦府，精装三房，南北通户型，楼层好，可拎包入住,华启金悦府 _ 郑州东站,3室2厅 | 130.9平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,"VR房源,房本满两年,随时看房",340万,单价25975元/平米
房子楼层适中，采光充足，视野开阔  简单装修,新芒果和郡 _ 郑州东站,3室2厅 | 142.84平米 | 南 北 | 简装 | 中楼层(共26层)  | 板塔结合,"近地铁,VR看装修,房本满两年,随时看房",365万,单价25554元/平米
满五年唯一，毛坯三房，不临街不临路，上好楼层景观好,海马公园A区 _ 郑州东站,3室2厅 | 128.34平米 | 南 东 | 毛坯 | 中楼层(共32层)  | 板楼,"VR看装修,房本满五年,随时看房",365万,单价28441元/平米
精装 满五 郑东新区房本 人车分流,正弘山 _ 通泰路,4室2厅 | 185.05平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,"VR看装修,房本满五年",360万,单价19455元/平米
满五唯一 免增值税 无个税 产权清晰 随时看房，少有,中凯华府 _ 黄河南路,3室2厅 | 155.07平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,"VR看装修,房本满五年",398万,单价25666元/平米
客厅朝南，有车位，满五年唯一税费低，中间位置,中义·阿卡迪亚 _ CBD,3室2厅 | 131.52平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",430万,单价32695元/平米
业主自住精装修，满五年唯一住房，价位带负一车位,财信圣堤亚纳小区 _ 黄河南路,3室2厅 | 137.88平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,"近地铁,VR房源,房本满五年",305万,单价22121元/平米
盛世年华罕有户型，三房急售！！,盛世年华 _ 郑州东站,3室2厅 | 119.72平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,"VR房源,房本满五年",275万,单价22971元/平米
建业天筑292平满两年精装修有车位,建业天筑 _ 郑州东站,5室2厅 | 291.63平米 | 南 北 | 精装 | 低楼层(共35层)  | 板楼,"VR房源,房本满两年",1124万,单价38542元/平米
此房户型设计合理，满五年正常税费，观景楼层采光好。,立体世界 _ 郑州东站,5室2厅 | 124.58平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,"近地铁,VR房源,房本满五年",310万,单价24884元/平米
正商东方港湾 1室1厅 西北,正商东方港湾 _ 郑州东站,1室1厅 | 32.16平米 | 西北 | 其他 | 中楼层(共27层)  | 板塔结合,"近地铁,VR看装修,房本满两年",85万,单价26431元/平米
房子满五年 高楼层视野好 自住保养好,东瑞园 _ 郑州东站,3室2厅 | 141.87平米 | 南 北 | 精装 | 高楼层(共19层)  | 板塔结合,"近地铁,VR看装修,房本满五年",328万,单价23120元/平米
东方港湾满五唯一精装修，大阳台好楼层东南户,正商东方港湾 _ 郑州东站,2室1厅 | 86.93平米 | 东南 | 精装 | 中楼层(共26层)  | 板楼,"VR看装修,房本满五年",212万,单价24388元/平米
中间楼层满两年，无遮挡，采光充足，交通便利近学.校,正商铂钻 _ 郑州东站,5室1厅 | 192.01平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,"近地铁,VR看装修,房本满两年,随时看房",405万,单价21093元/平米
业主诚心出售， 临河观景 中间楼层 采光无限 纯南全明,中力七里湾 _ 通泰路,2室2厅 | 91.63平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",153万,单价16698元/平米
润城时光里，有房本，满三年，看房方便,润城时光里 _ 通泰路,3室2厅 | 128.49平米 | 南 | 毛坯 | 低楼层(共25层)  | 板楼,"VR看装修,房本满两年,随时看房",175万,单价13620元/平米
融创美盛象湖壹号 3室1厅 南 北,融创美盛象湖壹号 _ 白沙,3室1厅 | 115.55平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,"VR房源,随时看房",172万,单价14886元/平米
房子满五唯一，无抵押，通风好。,新里卢浮公馆二期 _ 郑州东站,3室2厅 | 89.54平米 | 西 | 简装 | 低楼层(共34层)  | 板楼,"VR看装修,房本满五年,随时看房",190万,单价21220元/平米
通透三房，简单装修，带暖气，满五年，业主诚心出售。,郑东新世界 _ 白沙,3室1厅 | 97.1平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房",89万,单价9166元/平米
满五年，含车位，产权清晰，随时过户,和谐小区 _ 众意路,2室2厅 | 104.11平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,"VR看装修,房本满五年,随时看房",270万,单价25935元/平米
英地.金台府 邸，高 端小区，中间楼层，精装拎包入住,英地·金台府邸 _ 郑州东站,3室2厅 | 122.54平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,"VR看装修,房本满两年,随时看房",317万,单价25870元/平米
奥兰花园 精装修两房 满五年不唯一 看房方便,奥兰花园 _ 郑州东站,2室2厅 | 86.43平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,"近地铁,VR房源,房本满五年,随时看房",246.9万,单价28567元/平米
海马公园A区 3室2厅 西,海马公园A区 _ 郑州东站,3室2厅 | 147.86平米 | 西 | 毛坯 | 高楼层(共32层)  | 板楼,"VR看装修,房本满五年,随时看房",426万,单价28812元/平米
鑫苑鑫城 楼层高 地暖房 满五年不唯一 业主诚心出售,鑫苑鑫城 _ 郑州东站,2室2厅 | 74.57平米 | 西南 | 简装 | 高楼层(共31层)  | 板楼,"VR看装修,房本满五年,随时看房",149万,单价19982元/平米
盛世年华不临街不临路三房急售，价位可谈,盛世年华 _ 郑州东站,3室2厅 | 115平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,"VR看装修,房本满五年,随时看房",225万,单价19566元/平米
视野开阔，小区安静的的房源之一。中间楼层采光无遮挡,英地·金台府邸 _ 郑州东站,3室2厅 | 122.62平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,"VR看装修,房本满两年,随时看房",309万,单价25200元/平米
永威翡翠城朝南户型，中上楼层采光好，环境物业好。,永威翡翠城 _ 通泰路,2室2厅 | 90.92平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,"VR看装修,房本满五年,随时看房",218万,单价23978元/平米
此房业主诚心卖，价格可谈，楼层不高不低，刚刚好,鑫苑鑫城 _ 郑州东站,3室2厅 | 86.47平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,"VR看装修,房本满两年,随时看房",172万,单价19892元/平米
满五唯一 中间楼层 三号四号地铁口 采光无遮挡 急售,博澳福泽门 _ 通泰路,2室2厅 | 88.69平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,"VR看装修,房本满五年,随时看房",157万,单价17703元/平米
海马公园朝南两房 精装修 诚心卖,海马公园5期 _ 郑州东站,2室2厅 | 89.39平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,"VR看装修,房本满两年,随时看房",260万,单价29087元/平米
南北通气小三房    楼层适中   视野开阔,财信圣堤亚纳小区 _ 黄河南路,3室1厅 | 91.09平米 | 南 | 简装 | 高楼层(共36层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",205万,单价22506元/平米
满五年唯一，南北通透4房，精装修拎包入住,新里卢浮公馆二期 _ 郑州东站,4室2厅 | 131.43平米 | 南 北 | 其他 | 中楼层(共34层)  | 平房,"VR看装修,房本满五年,随时看房",280万,单价21305元/平米
满五唯一 精装修 诚心出售 中上楼层，视野采光都很好,润城时光里 _ 通泰路,3室2厅 | 129.66平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,"VR看装修,房本满五年,随时看房",185万,单价14269元/平米
满五年电梯房 一次未住 不临街不临路看房有钥匙,中义·阿卡迪亚 _ CBD,3室2厅 | 139.32平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",455万,单价32659元/平米
"中间位置,带一个阳台,满五年,不临路，业主诚心出售",鑫苑中央花园 _ 通泰路,3室2厅 | 116.68平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",265万,单价22712元/平米
复式楼，纯南户，采光好，无遮挡,郑东新世界 _ 白沙,2室1厅 | 69.97平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,"VR房源,房本满五年,随时看房",58万,单价8290元/平米
地暖已装，不临街，纯南两房，业主诚心出售。,润城时光里 _ 通泰路,2室2厅 | 89.6平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,"VR看装修,房本满五年,随时看房",136万,单价15179元/平米
精装修出售 二层不算面积 加长车位原价售 有露台,建业海马九如府 _ 天赋路,5室3厅 | 169.38平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR房源,房本满两年,随时看房",841万,单价49652元/平米
高铁东站卢浮公馆大三房 满五年 价位面谈 急售急售,新里卢浮公馆 _ 郑州东站,3室2厅 | 141.98平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,"VR看装修,房本满五年,随时看房",275万,单价19369元/平米
东区  黄河南路地铁口 公安分局家属院精装修有钥匙,美盛怡景嘉园 _ 黄河南路,3室2厅 | 181平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",290万,单价16023元/平米
联盟新城 精装3居室 有车位 中间位置 户型通透 改善房,联盟新城二期 _ 众意路,3室2厅 | 143.97平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,"VR看装修,房本满五年,随时看房",510万,单价35425元/平米
精装修 采光好 视野不遮挡 南北通透户型,中义·阿卡迪亚 _ CBD,3室2厅 | 132.71平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",415万,单价31272元/平米
郑东新区报业集团精装三房，业主诚心出售,东瑞园 _ 郑州东站,3室2厅 | 142.95平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,"VR看装修,房本满五年,随时看房",314万,单价21966元/平米
急售郑东新区精装三室，拎包入住,东润城 _ 白沙,3室1厅 | 94.83平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,"VR看装修,房本满两年,随时看房",111万,单价11706元/平米
诚心出售，有钥匙看房方便，中建七局 交通厅内购房,中建翰林苑 _ 郑州东站,3室2厅 | 102.22平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板楼,"VR房源,房本满两年,随时看房,商业类",170万,单价16631元/平米
中建7局家属院干净卫，环境好，管理规范，品质高.,中建翰林苑 _ 郑州东站,4室2厅 | 185平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",290万,单价15676元/平米
黄河南路 盛世年华 朝南两室 中高楼层 采光好,盛世年华 _ 郑州东站,2室2厅 | 85.05平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房,商业类",187万,单价21988元/平米
星联湾，89平3房，满2年，楼层好三六九往上走,星联湾 _ 白沙,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,"VR房源,房本满两年,随时看房,商业类",126万,单价14158元/平米
满五唯一精装修，业主诚心出售，没有多余税费,尚书苑 _ 郑州东站,2室1厅 | 91.75平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房,商业类",195万,单价21254元/平米
满五唯一 精装修  业主诚心出售,正商东方港湾 _ 郑州东站,2室2厅 | 88.11平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房,商业类",215万,单价24402元/平米
急售 不临街路 户型方正 南北通透,永基美邻 _ 天赋路,3室2厅 | 90.52平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,"VR看装修,房本满五年,随时看房,商业类",230万,单价25409元/平米
满五有差额个税 舒适精装小两房，南北户型， 中间楼层,尚书苑 _ 郑州东站,2室2厅 | 92.65平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",185.5万,单价20022元/平米
五月花城精装两房，两室两厅两卫，业主诚售,五月花城 _ 祭城,3室2厅 | 94.62平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",232万,单价24520元/平米
东瑞园 精装两房  满五年省税 业主诚心出售,东瑞园 _ 郑州东站,2室1厅 | 107.7平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,"VR看装修,房本满两年,随时看房",233万,单价21635元/平米
郑东新区精装自住两房，满五唯一，诚心出售,观屿国际 _ 祭城,2室1厅 | 81.05平米 | 东南 | 精装 | 18层  | 板楼,"VR房源,房本满五年,随时看房",135万,单价16657元/平米
大户型 大客厅 精装三房 采光好 户型方正 税费少,东瑞园 _ 郑州东站,3室2厅 | 142.95平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,"VR看装修,房本满五年,商业类",355万,单价24834元/平米
南北通透 中间楼层 采光好 厅大好用,金色年华 _ 通泰路,3室2厅 | 118.02平米 | 南 北 | 简装 | 6层  | 板楼,"VR看装修,房本满五年,商业类",230万,单价19489元/平米
七里河畔通透大三房 满五年正常税费 户型方正视野好,中央特区西苑 _ 郑州东站,3室2厅 | 153.85平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,"近地铁,VR房源,房本满五年",352万,单价22880元/平米
正商东方港湾 3室2厅 东 南,正商东方港湾 _ 郑州东站,3室2厅 | 104.81平米 | 东 南 | 简装 | 低楼层(共27层)  | 板塔结合,"近地铁,VR看装修,房本满五年",248万,单价23662元/平米
满五年唯一  临河观景 朝南带阳台 好楼层诚心售,润城时光里 _ 通泰路,2室2厅 | 87.39平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,"VR看装修,房本满五年",147万,单价16822元/平米
此房满五唯一 楼层好 视野好 全款购入 交易流程简单,有色地质家园A区 _ 白沙,3室2厅 | 131.56平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,"VR房源,房本满五年",135万,单价10262元/平米
通透三房，精装修带家具家电，采光无忧，配套齐全！,郑东新世界 _ 白沙,3室2厅 | 95.12平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,"VR房源,随时看房,商业类",95万,单价9988元/平米
和昌澜景 装修20多万 地铁6号线  诚心出售,和昌澜景 _ 儿童公园,3室2厅 | 116.74平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,"VR看装修,房本满两年,随时看房",196万,单价16790元/平米
精装修，业主诚心卖，精装修，看房方便,盛润锦绣城 _ 五一公园,3室2厅 | 86.42平米 | 南 东南 | 精装 | 中楼层(共34层)  | 板塔结合,"近地铁,VR房源,房本满五年,随时看房,商业类",173万,单价20019元/平米
核 心卖点：满五税费少 出门地铁口 中间楼层采光好,金源第一城 _ 热电厂,3室1厅 | 98.76平米 | 南 北 | 简装 | 中楼层(共15层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房,商业类",145万,单价14683元/平米
陇海西路前进路 中原新城王 府小区 两室两厅 看房方便,中原新城王府东院 _ 郑州一中,2室2厅 | 91.08平米 | 南 | 简装 | 中楼层(共34层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",137万,单价15042元/平米
盛润锦绣城 精装双气 满五唯一 看房方便 诚心出售,盛润锦绣城 _ 五一公园,3室1厅 | 88.25平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",185万,单价20964元/平米
农业西路精装小三房，满五不唯一，通透户型，诚心急售,晶华城 _ 五龙口,3室1厅 | 88.16平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,"VR看装修,房本满五年",129万,单价14633元/平米
房子整洁温馨中间层，地铁口一号线旁，交通便利,郑州国棉四厂 _ 五一公园,2室2厅 | 85.11平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,商业类",112万,单价13160元/平米
三环内正商开发大三房2016年小区,百合里 _ 五龙口,3室2厅 | 122.07平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,"VR看装修,房本满两年,商业类",161万,单价13190元/平米
威尼斯水城一期 4室2厅 南 北,威尼斯水城一期 _ 五龙口,4室2厅 | 163.32平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,"VR房源,随时看房,商业类",160万,单价9797元/平米
协作路6-19号 3室1厅 东 南,协作路6-19号 _ 汽车西站,3室1厅 | 103.29平米 | 东 南 | 简装 | 中楼层(共7层)  | 板楼,"近地铁,VR房源,房本满两年,随时看房",131万,单价12683元/平米
房子满五不唯一，个税一个点，中高楼层采光好配套齐全,盛润锦绣城 _ 五一公园,3室2厅 | 88.45平米 | 南 东南 | 简装 | 高楼层(共33层)  | 板塔结合,"VR看装修,房本满五年,随时看房",182.6万,单价20645元/平米
满五税费少，户型好，随时能看，看中房子约业主面谈。,豫花园 _ 交警二大队,3室2厅 | 122.43平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房",148万,单价12089元/平米
